YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED,LOCATIONS
2000,US,MA,eursta,European Starling,1,7006.0,9.016731016731017,206
2000,US,MA,easblu,Eastern Bluebird,0,285.0,10.961538461538462,15
2000,US,TN,bkcchi,Black-capped Chickadee,0,213.0,2.2903225806451615,30
2000,US,TN,bnhnut,Brown-headed Nuthatch,0,19.0,1.1176470588235294,6
2000,US,TN,borchi2,Boreal Chickadee,0,11.0,5.5,2
2000,US,TN,brncre,Brown Creeper,0,18.0,1.0,14
2000,US,TN,carchi,Carolina Chickadee,0,1469.0,2.53713298791019,111
2000,US,KY,whbnut,White-breasted Nuthatch,0,338.0,1.5794392523364487,61
2000,US,KY,tuftit,Tufted Titmouse,0,923.0,2.256723716381418,84
2000,US,KY,rehwoo,Red-headed Woodpecker,0,9.0,1.0,4
2000,US,KY,rebwoo,Red-bellied Woodpecker,0,394.0,1.2547770700636942,70
2000,US,IL,houspa,House Sparrow,1,36051.0,18.22598584428716,302
2000,US,IL,labwoo,Ladder-backed Woodpecker,0,3.0,1.0,1
2000,US,IL,norfli,Northern Flicker,0,365.0,1.3419117647058822,91
2000,US,IL,rebwoo,Red-bellied Woodpecker,0,1335.0,1.2762906309751434,210
2000,US,IL,rehwoo,Red-headed Woodpecker,0,82.0,1.8222222222222222,18
2000,US,IL,tuftit,Tufted Titmouse,0,1344.0,2.1642512077294684,105
2000,US,IL,whbnut,White-breasted Nuthatch,0,1389.0,1.5874285714285714,166
2000,US,IL,winwre3,Winter Wren,0,1.0,1.0,1
2000,US,IL,y00033,Carolina/Black-capped Chickadee,0,326.0,3.26,25
2000,US,IL,yebsap,Yellow-bellied Sapsucker,0,18.0,1.0,10
2000,US,IL,haiwoo,Hairy Woodpecker,0,584.0,1.2505353319057815,109
2000,US,WI,bkcchi,Black-capped Chickadee,0,8041.0,4.283963771976558,313
2000,US,KY,brncre,Brown Creeper,0,14.0,1.0,9
2000,US,KY,carchi,Carolina Chickadee,0,817.0,2.4757575757575756,71
2000,US,KY,carwre,Carolina Wren,0,364.0,1.368421052631579,74
2000,US,KY,dowwoo,Downy Woodpecker,0,604.0,1.5607235142118863,81
2000,US,KY,easblu,Eastern Bluebird,0,145.0,2.265625,29
2000,US,KY,eursta,European Starling,1,1935.0,7.5,70
2000,US,KY,haiwoo,Hairy Woodpecker,0,125.0,1.25,27
2000,US,KY,houfin,House Finch,0,5295.0,11.436285097192224,88
2000,US,KY,houspa,House Sparrow,1,2336.0,7.277258566978193,71
2000,US,KY,norfli,Northern Flicker,0,56.0,1.3658536585365855,16
2000,US,KY,bkcchi,Black-capped Chickadee,0,424.0,3.4193548387096775,33
2000,US,SD,norfli,Northern Flicker,0,19.0,1.1875,10
2000,US,CT,haiwoo,Hairy Woodpecker,0,761.0,1.2313915857605178,176
2000,US,NH,bnhnut,Brown-headed Nuthatch,0,3.0,3.0,1
2000,US,DE,y00033,Carolina/Black-capped Chickadee,0,66.0,2.357142857142857,7
2000,US,DE,whbnut,White-breasted Nuthatch,0,169.0,1.3629032258064515,26
2000,US,DE,tuftit,Tufted Titmouse,0,549.0,2.2780082987551866,42
2000,US,MS,carwre,Carolina Wren,0,258.0,1.5087719298245614,34
2000,US,MS,carchi,Carolina Chickadee,0,397.0,2.0255102040816326,36
2000,US,MS,brncre,Brown Creeper,0,1.0,1.0,1
2000,US,MS,bnhnut,Brown-headed Nuthatch,0,41.0,1.4642857142857142,11
2000,US,DE,rehwoo,Red-headed Woodpecker,0,3.0,1.0,1
2000,US,DE,rebwoo,Red-bellied Woodpecker,0,174.0,1.183673469387755,29
2000,US,DE,yebsap,Yellow-bellied Sapsucker,0,7.0,1.0,3
2000,US,DE,norfli,Northern Flicker,0,30.0,1.4285714285714286,14
2000,US,DE,houfin,House Finch,0,1158.0,5.462264150943396,42
2000,US,DE,haiwoo,Hairy Woodpecker,0,41.0,1.1714285714285715,11
2000,US,DE,eursta,European Starling,1,367.0,5.397058823529412,21
2000,US,DE,easblu,Eastern Bluebird,0,32.0,2.1333333333333333,8
2000,US,DE,dowwoo,Downy Woodpecker,0,252.0,1.44,30
2000,US,DE,carwre,Carolina Wren,0,146.0,1.280701754385965,33
2000,US,DE,carchi,Carolina Chickadee,0,378.0,2.076923076923077,29
2000,US,DE,brncre,Brown Creeper,0,14.0,1.0,6
2000,US,FL,dowwoo,Downy Woodpecker,0,148.0,1.2436974789915967,44
2000,US,DE,houspa,House Sparrow,1,778.0,7.137614678899083,22
2000,US,FL,easblu,Eastern Bluebird,0,162.0,2.53125,25
2000,US,FL,carwre,Carolina Wren,0,520.0,1.4647887323943662,84
2000,US,FL,bnhnut,Brown-headed Nuthatch,0,26.0,1.5294117647058822,8
2000,US,DC,carwre,Carolina Wren,0,19.0,1.5833333333333333,4
2000,US,DC,carchi,Carolina Chickadee,0,36.0,1.8,5
2000,US,DC,bkcchi,Black-capped Chickadee,0,15.0,2.5,1
2000,US,VA,tuftit,Tufted Titmouse,0,6429.0,2.552203255260024,428
2000,US,VA,whbnut,White-breasted Nuthatch,0,2506.0,1.51145958986731,334
2000,US,VA,winwre3,Winter Wren,0,1.0,1.0,1
2000,US,MS,yebsap,Yellow-bellied Sapsucker,0,12.0,1.0909090909090908,7
2000,US,MS,y00033,Carolina/Black-capped Chickadee,0,1.0,1.0,1
2000,US,MS,whbnut,White-breasted Nuthatch,0,2.0,2.0,1
2000,US,FL,carchi,Carolina Chickadee,0,497.0,1.8072727272727274,68
2000,US,MS,tuftit,Tufted Titmouse,0,406.0,2.0927835051546393,36
2000,US,MS,rebwoo,Red-bellied Woodpecker,0,166.0,1.3070866141732282,28
2000,US,MS,norfli,Northern Flicker,0,17.0,1.5454545454545454,6
2000,US,MS,houspa,House Sparrow,1,424.0,6.424242424242424,16
